tag,gen,idx,maxIter,fpsErr,gpuTimeMs,boundary,density,rank
FRONT,2,1,1716,635.759,1.43728,6403,0.202471,0
FRONT,2,2,64,15526,0.06416,9793,0.135558,0
FRONT,2,3,3690,253.016,3.19472,5390,0.205171,0
FRONT,2,4,353,3224.29,0.30448,9403,0.187875,0
FRONT,2,5,3893,248.855,3.23776,5268,0.205264,0
FRONT,2,6,565,588.879,1.54112,8377,0.194138,0
FRONT,2,7,210,4151.59,0.23744,10367,0.177781,0
FRONT,2,8,238,3334.89,0.29456,10393,0.180571,0
FRONT,2,9,2328,358.564,2.38912,5942,0.203537,0
FRONT,2,10,393,2647.97,0.36928,9101,0.189449,0
FRONT,2,11,311,3705.06,0.2656,9738,0.185642,0
FRONT,2,12,248,4145.92,0.23776,10403,0.181559,0
FRONT,2,13,2470,475.194,1.86848,5712,0.203725,0
FRONT,2,14,621,1814.06,0.5336,8261,0.195269,0
FRONT,2,15,3799,252.547,3.19952,5286,0.205227,0
FRONT,2,16,957,1003.65,0.94016,7447,0.199013,0
FRONT,2,17,2448,410.597,2.12496,5712,0.203708,0
FRONT,2,18,590,1890.08,0.5128,8291,0.194686,0
FRONT,2,19,362,3130.4,0.31344,9238,0.188176,0
FRONT,2,20,3416,291.875,2.84192,5393,0.204827,0
FRONT,2,21,2834,336.8,2.52016,5702,0.204206,0
FRONT,2,22,190,4956.05,0.19936,10343,0.175308,0
FRONT,2,23,1560,705.65,1.30608,6590,0.202073,0
FRONT,2,24,306,3702.79,0.26576,9817,0.185475,0
FRONT,2,25,3664,256.857,3.156,5407,0.205159,0
FRONT,2,26,167,6491.36,0.15264,10308,0.171815,0
FRONT,2,27,864,1291.64,0.73984,7625,0.198296,0
FRONT,2,28,723,1370.86,0.69888,7957,0.196758,0
FRONT,2,29,4019,227.145,3.48256,5195,0.205322,0
FRONT,2,30,3985,236.49,3.3728,5196,0.20531,0
FRONT,2,31,550,2043.67,0.47536,8476,0.1939,0
EVAL,3,0,3964,226.605,3.48912,5203,0.205302,-1
EVAL,3,1,356,3125.53,0.31392,9369,0.187975,-1
EVAL,3,2,2722,340.847,2.49472,5752,0.204126,-1
EVAL,3,3,64,15073.2,0.06608,9793,0.135558,-1
EVAL,3,4,2834,343.616,2.4776,5702,0.204206,-1
EVAL,3,5,273,4081.82,0.24144,9990,0.183198,-1
EVAL,3,6,167,6443.64,0.15376,10308,0.171815,-1
EVAL,3,7,298,3798.02,0.2592,9951,0.184925,-1
EVAL,3,8,302,3779.07,0.26048,9862,0.185153,-1
EVAL,3,9,2435,424.121,2.0656,5809,0.203682,-1
EVAL,3,10,188,5737.77,0.17248,10342,0.175047,-1
EVAL,3,11,2328,430.311,2.03952,5942,0.203537,-1
EVAL,3,12,911,1174.45,0.81008,7416,0.198621,-1
EVAL,3,13,115,8669.05,0.11456,10121,0.16063,-1
EVAL,3,14,486,2319.14,0.42032,8600,0.19226,-1
EVAL,3,15,2713,375.237,2.2976,5797,0.204314,-1
EVAL,3,16,403,2830.84,0.34592,9107,0.189851,-1
EVAL,3,17,355,3155.02,0.31104,9318,0.187935,-1
EVAL,3,18,840,1332.6,0.71808,7532,0.197908,-1
EVAL,3,19,71,13798.1,0.07216,9855,0.141753,-1
EVAL,3,20,2364,417.354,2.09488,5702,0.204371,-1
EVAL,3,21,401,2801.72,0.34944,9013,0.191129,-1
EVAL,3,22,2800,365.286,2.35136,5543,0.206088,-1
EVAL,3,23,2328,453.221,1.94848,5682,0.205941,-1
EVAL,3,24,2953,303.88,2.74816,5386,0.207155,-1
EVAL,3,25,878,1271.2,0.7512,7323,0.201937,-1
EVAL,3,26,91,10461.9,0.09504,9864,0.157408,-1
EVAL,3,27,957,1166.45,0.81536,7139,0.20401,-1
EVAL,3,28,386,2913.36,0.33632,8964,0.195321,-1
EVAL,3,29,2447,422.141,2.07408,5324,0.209994,-1
EVAL,3,30,3993,236.856,3.36864,4722,0.212417,-1
EVAL,3,31,641,1755.28,0.55088,7766,0.203981,-1
FRONT,3,0,3964,226.605,3.48912,5203,0.205302,0
FRONT,3,1,356,3125.53,0.31392,9369,0.187975,0
FRONT,3,2,2722,340.847,2.49472,5752,0.204126,0
FRONT,3,3,64,15073.2,0.06608,9793,0.135558,0
FRONT,3,4,2834,343.616,2.4776,5702,0.204206,0
FRONT,3,5,273,4081.82,0.24144,9990,0.183198,0
FRONT,3,6,167,6443.64,0.15376,10308,0.171815,0
FRONT,3,7,298,3798.02,0.2592,9951,0.184925,0
FRONT,3,8,302,3779.07,0.26048,9862,0.185153,0
FRONT,3,9,2435,424.121,2.0656,5809,0.203682,0
FRONT,3,10,188,5737.77,0.17248,10342,0.175047,0
FRONT,3,11,2328,430.311,2.03952,5942,0.203537,0
FRONT,3,12,911,1174.45,0.81008,7416,0.198621,0
FRONT,3,13,115,8669.05,0.11456,10121,0.16063,0
FRONT,3,14,486,2319.14,0.42032,8600,0.19226,0
FRONT,3,15,2713,375.237,2.2976,5797,0.204314,0
FRONT,3,16,403,2830.84,0.34592,9107,0.189851,0
FRONT,3,17,355,3155.02,0.31104,9318,0.187935,0
FRONT,3,18,840,1332.6,0.71808,7532,0.197908,0
FRONT,3,19,71,13798.1,0.07216,9855,0.141753,0
FRONT,3,20,2364,417.354,2.09488,5702,0.204371,0
FRONT,3,21,401,2801.72,0.34944,9013,0.191129,0
FRONT,3,22,2800,365.286,2.35136,5543,0.206088,0
FRONT,3,23,2328,453.221,1.94848,5682,0.205941,0
FRONT,3,24,2953,303.88,2.74816,5386,0.207155,0
FRONT,3,25,878,1271.2,0.7512,7323,0.201937,0
FRONT,3,26,91,10461.9,0.09504,9864,0.157408,0
FRONT,3,27,957,1166.45,0.81536,7139,0.20401,0
FRONT,3,28,386,2913.36,0.33632,8964,0.195321,0
FRONT,3,29,2447,422.141,2.07408,5324,0.209994,0
FRONT,3,30,3993,236.856,3.36864,4722,0.212417,0
FRONT,3,31,641,1755.28,0.55088,7766,0.203981,0
EVAL,4,0,554,2037.32,0.4768,8126,0.20325,-1
EVAL,4,1,64,15109.9,0.06592,9544,0.148289,-1
EVAL,4,2,369,3159.99,0.31056,9030,0.200138,-1
EVAL,4,3,101,10771.9,0.09232,9818,0.169705,-1
EVAL,4,4,115,9282.3,0.10704,9927,0.175273,-1
EVAL,4,5,115,8894.15,0.11168,9883,0.176436,-1
EVAL,4,6,3993,236.954,3.36752,4584,0.219205,-1
EVAL,4,7,159,6994.18,0.14176,10043,0.187962,-1
EVAL,4,8,3870,261.949,3.10608,4643,0.221075,-1
EVAL,4,9,84,10479.6,0.09488,9816,0.168876,-1
EVAL,4,10,2252,492.608,1.8096,5392,0.221087,-1
EVAL,4,11,398,2959.32,0.3312,8839,0.209612,-1
EVAL,4,12,678,1657.98,0.58208,7683,0.216204,-1
EVAL,4,13,711,1649.52,0.58496,7480,0.217498,-1
EVAL,4,14,864,1467.74,0.65456,7229,0.220083,-1
EVAL,4,15,895,1304.03,0.73312,7134,0.221107,-1
EVAL,4,16,373,3109.37,0.31552,9239,0.213236,-1
EVAL,4,17,2384,457.298,1.93312,5279,0.227053,-1
EVAL,4,18,64,13798.1,0.07216,9814,0.164518,-1
EVAL,4,19,64,14407.6,0.06912,9867,0.165441,-1
EVAL,4,20,2227,411.983,2.11872,5759,0.217359,-1
EVAL,4,21,870,1286.69,0.74256,7597,0.212416,-1
EVAL,4,22,658,1736.49,0.55664,8139,0.209977,-1
EVAL,4,23,4064,231.674,3.42848,4877,0.219184,-1
EVAL,4,24,551,2040.13,0.47616,8595,0.208089,-1
EVAL,4,25,430,2618.95,0.37328,9288,0.188648,-1
EVAL,4,26,2918,328.609,2.57328,5657,0.183224,-1
EVAL,4,27,2328,407.395,2.13952,6158,0.157654,-1
EVAL,4,28,2328,389.543,2.22448,5348,0.124343,-1
EVAL,4,29,992,950.509,0.9896,3606,0.0671332,-1
EVAL,4,30,958,809.989,1.14944,3539,0.0663423,-1
EVAL,4,31,878,1114.81,0.8512,3631,0.0657226,-1
FRONT,4,0,554,2037.32,0.4768,8126,0.20325,0
FRONT,4,1,64,15109.9,0.06592,9544,0.148289,0
FRONT,4,2,369,3159.99,0.31056,9030,0.200138,0
FRONT,4,3,101,10771.9,0.09232,9818,0.169705,0
FRONT,4,4,115,9282.3,0.10704,9927,0.175273,0
FRONT,4,5,115,8894.15,0.11168,9883,0.176436,0
FRONT,4,6,3993,236.954,3.36752,4584,0.219205,0
FRONT,4,7,159,6994.18,0.14176,10043,0.187962,0
FRONT,4,8,3870,261.949,3.10608,4643,0.221075,0
FRONT,4,9,84,10479.6,0.09488,9816,0.168876,0
FRONT,4,10,2252,492.608,1.8096,5392,0.221087,0
FRONT,4,11,398,2959.32,0.3312,8839,0.209612,0
FRONT,4,12,678,1657.98,0.58208,7683,0.216204,0
FRONT,4,13,711,1649.52,0.58496,7480,0.217498,0
FRONT,4,14,864,1467.74,0.65456,7229,0.220083,0
FRONT,4,15,895,1304.03,0.73312,7134,0.221107,0
FRONT,4,16,373,3109.37,0.31552,9239,0.213236,0
FRONT,4,17,2384,457.298,1.93312,5279,0.227053,0
